"year","fac17"
1990,10.9500532152148
1991,9.92890318364055
1992,8.90775315206626
1993,7.88660312049197
1994,7.2480163235012
1995,5.23456055594605
1996,4.13650429618693
1997,3.48352254787454
1998,3.01787407566202
1999,2.5993116277596
2000,2.33851555322057
2001,2.2052835646592
2002,2.09024948771423
2003,2.00909306596655
2004,1.86093110954178
2005,1.75768601440295
2006,1.65212788909713
2007,1.56171901796142
2008,1.47092593695104
2009,1.41506398122346
2010,1.35354338591352
2011,1.27882335868055
2012,1.22885885508685
2013,1.21034385214522
2014,1.15889228910894
2015,1.12694249766805
2016,1.06712706429905
2017,1
2018,0.952928281721565
2019,0.92207927729468
