"year","amb","def","eco","edu","gob","sal","seg","soc","viv","cul","code"
1990,191,3580.6,61510.2,18229.8,97863.847,20374.4,953.8,1633.8,4323.7,42.5391236047266,"MEX"
1991,304.8,4807.7,67094.1,25821.2,93944.86,29579.7,1283.8,2996.2,7313.1,107.534490143643,"MEX"
1992,321.3,6010.8,74326.1,35888.7,87513.077,36336.5,1835.9,4770.4,9846.4,239.425287894413,"MEX"
1993,321.7,7211.4,79093.4,47221.5,91694.456,43708.6,2727,3744.3,11652.9,363.035847350434,"MEX"
1994,821.2,9633.5,90817.8,58112.1,97166.772,34487.6,3481.7,21337.3,16902.7,667.047094779645,"MEX"
1995,1847.1,10367.8,104554.1,69554.8,154980.669,40557.3,4017.9,28990,14996.3,542.320811858317,"MEX"
1996,2934.8,14636.5,150069.9,94393.5,206963.005,52531.4,5310.9,42792.7,21666.8,742.656560325277,"MEX"
1997,7397,18293,191053.1,114090.9,271974.572,71003.7,6768.7,61585.5,26355.7,921.435437172395,"MEX"
1998,5872.9,19469,190476.5,148507,266053.778,88017.6,8436.5,72811.5,36272.1,1707.98676760466,"MEX"
1999,9254.9,22908.2,195126.1,175668.6,345762.468,110120.9,11740.1,105112.5,40195.8,2116.10981864528,"MEX"
2000,10327.9,25843.8,223161,207006.4,451595.414,122041.6,15047.2,134221.2,53278.5,2463.89268145122,"MEX"
2001,10361.1,27479.9,245265.9,235127.2,441516.073,135483.3,21151.5,141679.9,65561.6,3839.20785832075,"MEX"
2002,12162.9,26834.7,319212.7,259588.9,453653.69,132878.7,26032.1,174563.7,73112.4,4999.1393912708,"MEX"
2003,16183.5958419558,30603,361868.1,268871,546566.055,174462.1,37250.6,162759,89503.1,5884.52702934677,"MEX"
2004,17462.854690766,31038.4,386493.1,288718.7,569444.843,182323.4,40150.5,189294.8,113263.3,7204.06746736688,"MEX"
2005,19292.9232935492,32079.4,442070.66,320872.56,590150.075,223536.2,43826.8,201811.8,122492.6,9072.64692976592,"MEX"
2006,20233.3193523418,33456.1,487802.45,356955.55,710368.821796,247166.1,49461.66791,239565.8,144681.4,9941.85113830958,"MEX"
2007,21164.2971259,41811.819288,558967.35096131,377475.48336,694349.105195,228922.04995,58663.4719395,322642.696518,168252.237801,10255.0028563,"MEX"
2008,18126.3408843,47485.837822,668198.7660233,417627.58563,765387.957823,230886.701801,67325.982306,453116.571697,192627.095822,11825.5916551,"MEX"
2009,23032.890389,55786.092862,837479.03917698,447737.00321,775820.9661854,251929.55295,81627.292181,432232.541429,168339.89824,14891.532575,"MEX"
2010,28806.8776319,64000.851978,867634.61396019,474652.13369,827330.7449839,355173.85222,88802.879059,409756.050838,199704.06872,18086.2781971,"MEX"
2011,27835.8283663,77176.276049,901204.43940497,513992.20741,904985.3840651,398843.13803,106600.705371,461943.120768,218678.36115,20056.4815551,"MEX"
2012,26643.5829089,74694.268707,980773.98176287,555828.95551,983576.6584496,435260.31803,120790.144241,511908.259937,205230.42802,25598.355301,"MEX"
2013,25365.6035431,78985.7171,1083700.86490196,579051.43137,1014769.3894158,444663.26316,115610.728814,555425.232614,255182.82173,25566.8581,"MEX"
2014,29290.0762034,90737.642491,1109032.06849013,624098.59815,1109249.2401132,465005.88942,134292.025261,633887.285194,307219.58409,25232.8303627,"MEX"
2015,26991.7900781,100777.015379,1155680.67844563,671484.37447,1242186.0563207,498641.60021,143301.464775,695741.27644,330624.7658,27446.870964,"MEX"
2016,23942.8876507,98567.33155,1354630.26265436,680018.06907,1430768.239213,512219.15135,154070.994838,747427.301364,323864.55967,22245.760507,"MEX"
2017,17966.5051083,99149.639377,1049142.16530314,686541.12118,1615763.9298255,543202.06993,144545.067862,802754.306049,204341.99076,19231.60467,"MEX"
2018,21462.3905427,106371.856598,1150919.29558534,712080.6856,1741959.2233416,564375.19116,159295.036326,885923.46195863,226806.82009,20157.359174,"MEX"
2019,16219.7548432,125905.307708,1136997.35241939,740211.81182,1713608.0198468,575587.7412,150086.364064,1066858.81433546,247684.0994,19464.6802295,"MEX"
