"","code","year","cont","HDI","h"
"1","AFG",1990,"Asia",0.298,NA
"2","AFG",1991,"Asia",0.304,2.01342281879195
"3","AFG",1992,"Asia",0.312,2.63157894736843
"4","AFG",1993,"Asia",0.308,-1.28205128205129
"5","AFG",1994,"Asia",0.303,-1.62337662337663
"6","AFG",1995,"Asia",0.327,7.92079207920793
"7","AFG",1996,"Asia",0.331,1.22324159021407
"8","AFG",1997,"Asia",0.335,1.2084592145015
"9","AFG",1998,"Asia",0.339,1.19402985074626
"10","AFG",1999,"Asia",0.343,1.17994100294985
"11","AFG",2000,"Asia",0.345,0.583090379008722
"12","AFG",2001,"Asia",0.347,0.579710144927548
"13","AFG",2002,"Asia",0.378,8.93371757925072
"14","AFG",2003,"Asia",0.387,2.38095238095237
"15","AFG",2004,"Asia",0.4,3.359173126615
"16","AFG",2005,"Asia",0.41,2.49999999999999
"17","AFG",2006,"Asia",0.419,2.19512195121951
"18","AFG",2007,"Asia",0.431,2.86396181384247
"19","AFG",2008,"Asia",0.436,1.1600928074246
"20","AFG",2009,"Asia",0.447,2.52293577981653
"21","AFG",2010,"Asia",0.464,3.80313199105147
"22","AFG",2011,"Asia",0.465,0.215517241379315
"23","AFG",2012,"Asia",0.479,3.01075268817204
"24","AFG",2013,"Asia",0.485,1.2526096033403
"25","AFG",2014,"Asia",0.488,0.618556701030926
"26","AFG",2015,"Asia",0.49,0.409836065573765
"27","AFG",2016,"Asia",0.491,0.204081632653064
"28","AFG",2017,"Asia",0.493,0.407331975560088
"29","AFG",2018,"Asia",0.496,0.608519269776875
"30","AGO",1999,"Africa",0.384,NA
"31","AGO",2000,"Africa",0.394,2.60416666666667
"32","AGO",2001,"Africa",0.404,2.53807106598984
"33","AGO",2002,"Africa",0.419,3.71287128712869
"34","AGO",2003,"Africa",0.428,2.14797136038187
"35","AGO",2004,"Africa",0.44,2.80373831775702
"36","AGO",2005,"Africa",0.453,2.95454545454545
"37","AGO",2006,"Africa",0.466,2.86975717439293
"38","AGO",2007,"Africa",0.482,3.43347639484977
"39","AGO",2008,"Africa",0.494,2.48962655601661
"40","AGO",2009,"Africa",0.508,2.83400809716599
"41","AGO",2010,"Africa",0.51,0.393700787401574
"42","AGO",2011,"Africa",0.525,2.94117647058825
"43","AGO",2012,"Africa",0.537,2.28571428571429
"44","AGO",2013,"Africa",0.547,1.86219739292366
"45","AGO",2014,"Africa",0.557,1.82815356489945
"46","AGO",2015,"Africa",0.565,1.43626570915618
"47","AGO",2016,"Africa",0.57,0.884955752212391
"48","AGO",2017,"Africa",0.576,1.05263157894737
"49","AGO",2018,"Africa",0.574,-0.347222222222221
"50","ALB",1990,"Europe",0.644,NA
"51","ALB",1991,"Europe",0.625,-2.95031055900621
"52","ALB",1992,"Europe",0.608,-2.72
"53","ALB",1993,"Europe",0.611,0.493421052631571
"54","ALB",1994,"Europe",0.617,0.981996726677581
"55","ALB",1995,"Europe",0.629,1.94489465153971
"56","ALB",1996,"Europe",0.639,1.58982511923689
"57","ALB",1997,"Europe",0.639,0
"58","ALB",1998,"Europe",0.649,1.56494522691706
"59","ALB",1999,"Europe",0.66,1.69491525423728
"60","ALB",2000,"Europe",0.667,1.06060606060605
"61","ALB",2001,"Europe",0.673,0.899550224887546
"62","ALB",2002,"Europe",0.68,1.04011887072808
"63","ALB",2003,"Europe",0.687,1.02941176470588
"64","ALB",2004,"Europe",0.692,0.727802037845682
